fund,strategy,note 
SCBRMNDQ,DCA รายเดือน,US Tech (Nasdaq 100) 
KKPGQUAL-RMF,DCA/EDCA,Global Quality 
SCBRMWORLD,DCA/EDCA,MSCI World (ทั่วโลก) 
SCBRMS50,DCA รายเดือน,หุ้นไทย SET50 
SCBRMLEQ,DCA/EDCA,Global Low Volatility 
SCBGOLD-RMF,EDCA,ทองคำ (ป้องกันวิกฤต) 
